antecedent,consequent,support,confidence,lift
['18'],['14'],0.53,0.75,1.04
['14'],['18'],0.53,0.74,1.04
['34'],['18'],0.47,0.73,1.03
['18'],['34'],0.47,0.66,1.03
['34'],['14'],0.47,0.74,1.03
['14'],['34'],0.47,0.66,1.03
['34'],"['18', '14']",0.36,0.56,1.07
['18'],"['34', '14']",0.36,0.51,1.08
['14'],"['34', '18']",0.36,0.5,1.08
"['34', '18']",['14'],0.36,0.77,1.08
"['34', '14']",['18'],0.36,0.76,1.08
"['18', '14']",['34'],0.36,0.68,1.07
['34'],['30'],0.37,0.57,1.02
['30'],['34'],0.37,0.65,1.02
['18'],['30'],0.4,0.56,1.0
['30'],['18'],0.4,0.7,1.0
['14'],['30'],0.42,0.59,1.04
['30'],['14'],0.42,0.75,1.04
['34'],"['18', '30']",0.27,0.42,1.06
['18'],"['34', '30']",0.27,0.38,1.04
['30'],"['34', '18']",0.27,0.48,1.03
"['34', '18']",['30'],0.27,0.58,1.03
"['34', '30']",['18'],0.27,0.73,1.04
"['18', '30']",['34'],0.27,0.68,1.06
['34'],"['14', '30']",0.28,0.44,1.05
['14'],"['34', '30']",0.28,0.39,1.07
['30'],"['34', '14']",0.28,0.5,1.06
"['34', '14']",['30'],0.28,0.59,1.06
"['34', '30']",['14'],0.28,0.77,1.07
"['14', '30']",['34'],0.28,0.67,1.05
['18'],"['14', '30']",0.31,0.44,1.04
['14'],"['18', '30']",0.31,0.43,1.09
['30'],"['18', '14']",0.31,0.55,1.04
"['18', '14']",['30'],0.31,0.59,1.04
"['18', '30']",['14'],0.31,0.78,1.09
"['14', '30']",['18'],0.31,0.74,1.04
['34'],"['18', '14', '30']",0.22,0.34,1.09
['18'],"['34', '14', '30']",0.22,0.31,1.08
['14'],"['34', '18', '30']",0.22,0.3,1.12
['30'],"['34', '18', '14']",0.22,0.38,1.06
"['34', '18']","['14', '30']",0.22,0.46,1.1
"['34', '14']","['18', '30']",0.22,0.45,1.15
"['34', '30']","['18', '14']",0.22,0.59,1.11
"['18', '14']","['34', '30']",0.22,0.41,1.11
"['18', '30']","['34', '14']",0.22,0.54,1.15
"['14', '30']","['34', '18']",0.22,0.51,1.1
"['34', '18', '14']",['30'],0.22,0.6,1.06
"['34', '18', '30']",['14'],0.22,0.8,1.12
"['34', '14', '30']",['18'],0.22,0.76,1.08
"['18', '14', '30']",['34'],0.22,0.7,1.09
['34'],['19'],0.36,0.56,1.04
['19'],['34'],0.36,0.67,1.04
['18'],['19'],0.4,0.57,1.05
['19'],['18'],0.4,0.74,1.05
['14'],['19'],0.4,0.56,1.03
['19'],['14'],0.4,0.74,1.03
['30'],['19'],0.32,0.56,1.04
['19'],['30'],0.32,0.59,1.04
['34'],"['18', '19']",0.27,0.43,1.07
['18'],"['34', '19']",0.27,0.39,1.08
['19'],"['34', '18']",0.27,0.51,1.09
"['34', '18']",['19'],0.27,0.59,1.09
"['34', '19']",['18'],0.27,0.76,1.08
"['18', '19']",['34'],0.27,0.69,1.07
['34'],"['14', '19']",0.27,0.43,1.07
['14'],"['34', '19']",0.27,0.38,1.07
['19'],"['34', '14']",0.27,0.51,1.07
"['34', '14']",['19'],0.27,0.58,1.07
"['34', '19']",['14'],0.27,0.76,1.07
"['14', '19']",['34'],0.27,0.69,1.07
['34'],"['30', '19']",0.21,0.33,1.06
['30'],"['34', '19']",0.21,0.38,1.06
