"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1020.1","1023.3","1022.2","2022-01-01 00:41","1017.8","2022-01-01 15:15","18.7","24.7","2022-01-01 14:49","14.6","2022-01-01 04:15","11.9","68","33","2022-01-01 14:17","4.8","10","13.8","10","2022-01-01 12:09","0.0","0.0","0.0","...","0.0","...","8.7","81.2","15.38","20.0","...","7","2022-01-01 13:00","1.8"
"02","1018.5","1021.7","1020.4","2022-01-02 08:56","1016.3","2022-01-02 14:47","18.5","25.2","2022-01-02 13:15","14.6","2022-01-02 06:14","13.9","77","43","2022-01-02 12:51","3.7","360","9.5","10","2022-01-02 18:48","0.0","0.0","0.0","...","0.0","...","10.1","94.2","16.51","12.8","...","7","2022-01-02 13:00","0.0"
"03","1017.2","1020.4","1019.1","2022-01-03 09:27","1014.9","2022-01-03 15:11","19.0","25.3","2022-01-03 13:24","14.6","2022-01-03 05:46","13.4","72","42","2022-01-03 15:07","3.7","360","9.4","320","2022-01-03 13:11","0.0","0.0","0.0","...","0.0","...","10.2","95.1","16.28","14.8","...","6","2022-01-03 13:00","0.3"
"04","1016.3","1019.5","1018.4","2022-01-04 08:30","1014.0","2022-01-04 15:03","19.5","25.1","2022-01-04 13:04","15.6","2022-01-04 06:18","15.5","79","52","2022-01-04 12:53","2.9","10","7.5","350","2022-01-04 16:39","0.0","0.0","0.0","...","0.0","...","7.6","70.8","13.99","7.5","...","6","2022-01-04 12:00","5.0"
"05","1014.1","1017.3","1015.9","2022-01-05 00:01","1011.8","2022-01-05 14:25","20.3","24.4","2022-01-05 13:31","17.9","2022-01-05 00:35","16.7","81","61","2022-01-05 12:58","3.4","360","11.5","10","2022-01-05 23:23","T","0.1","T","2022-01-05 20:23","T","2022-01-05 20:23","0.8","7.5","8.90","4.5","...","5","2022-01-05 13:00","8.5"
"06","1015.0","1018.2","1017.9","2022-01-06 21:33","1013.1","2022-01-06 04:51","19.3","22.2","2022-01-06 11:31","16.4","2022-01-06 23:59","14.9","76","62","2022-01-06 12:05","4.8","10","12.2","10","2022-01-06 14:46","T","0.1","T","2022-01-06 12:09","T","2022-01-06 12:09","2.1","19.5","10.61","10.3","...","5","2022-01-06 13:00","9.0"
"07","1017.0","1020.2","1019.2","2022-01-07 08:59","1014.8","2022-01-07 15:44","17.8","21.5","2022-01-07 14:46","15.5","2022-01-07 06:49","13.9","79","62","2022-01-07 14:48","4.3","360","11.2","20","2022-01-07 16:47","T","0.5","T","2022-01-07 11:20","T","2022-01-07 11:20","4.1","38.1","12.59","11.0","...","6","2022-01-07 12:00","8.8"
"08","1015.5","1018.7","1017.5","2022-01-08 00:01","1013.2","2022-01-08 15:22","18.5","23.9","2022-01-08 13:30","15.0","2022-01-08 06:10","13.4","73","52","2022-01-08 13:31","3.7","360","9.8","20","2022-01-08 01:53","0.0","0.0","0.0","...","0.0","...","9.0","83.6","15.90","13.8","...","6","2022-01-08 13:00","1.5"
"09","1013.7","1016.9","1015.3","2022-01-09 00:35","1011.3","2022-01-09 14:50","18.6","23.9","2022-01-09 13:20","15.4","2022-01-09 06:28","14.0","75","57","2022-01-09 12:57","3.8","10","11.7","20","2022-01-09 18:30","0.0","0.0","0.0","...","0.0","...","10.0","92.8","16.19","10.0","...","6","2022-01-09 13:00","0.5"
"10","1013.1","1016.3","1014.9","2022-01-10 09:06","1010.6","2022-01-10 14:58","18.4","24.0","2022-01-10 13:10","15.1","2022-01-10 06:13","14.7","80","57","2022-01-10 13:00","3.8","360","10.4","20","2022-01-10 19:30","0.0","0.0","0.0","...","0.0","...","9.3","86.3","16.11","9.8","...","6","2022-01-10 13:00","1.8"
"11","1014.8","1018.0","1017.6","2022-01-11 21:29","1012.4","2022-01-11 03:11","16.9","20.1","2022-01-11 13:03","14.0","2022-01-11 21:40","11.4","71","53","2022-01-11 14:57","5.6","360","16.0","350","2022-01-11 09:42","0.0","0.0","0.0","...","0.0","...","5.3","49.1","13.57","16.3","...","7","2022-01-11 13:00","6.8"
"12","1017.2","1020.4","1018.9","2022-01-12 08:40","1015.4","2022-01-12 15:27","15.5","19.0","2022-01-12 15:32","13.8","2022-01-12 00:42","9.3","67","53","2022-01-12 15:12","3.9","10","9.6","10","2022-01-12 08:23","0.0","0.0","0.0","...","0.0","...","1.2","11.1","7.59","7.0","...","4","2022-01-12 14:00","8.5"
"13","1017.2","1020.4","1019.4","2022-01-13 09:20","1014.6","2022-01-13 13:47","16.2","22.5","2022-01-13 13:47","12.6","2022-01-13 23:17","9.7","66","44","2022-01-13 13:49","5.2","10","16.4","350","2022-01-13 14:55","0.0","0.0","0.0","...","0.0","...","9.0","83.3","15.93","14.3","...","6","2022-01-13 13:00","1.5"
"14","1017.5","1020.7","1019.6","2022-01-14 09:22","1015.0","2022-01-14 15:33","15.8","21.4","2022-01-14 13:34","11.1","2022-01-14 05:53","9.2","66","45","2022-01-14 13:34","3.4","10","9.9","350","2022-01-14 02:09","0.0","0.0","0.0","...","0.0","...","9.7","89.6","16.00","7.3","...","6","2022-01-14 13:00","0.0"
"15","1017.3","1020.5","1019.6","2022-01-15 19:54","1014.8","2022-01-15 14:55","18.4","23.9","2022-01-15 13:21","14.6","2022-01-15 06:42","12.8","71","51","2022-01-15 13:18","3.4","360","11.7","350","2022-01-15 14:16","0.0","0.0","0.0","...","0.0","...","9.8","90.5","16.13","10.3","...","6","2022-01-15 13:00","1.5"
"16","1017.0","1020.2","1018.9","2022-01-16 08:45","1014.3","2022-01-16 14:40","19.5","25.4","2022-01-16 13:21","15.5","2022-01-16 05:36","15.3","78","51","2022-01-16 12:28","3.4","360","9.6","360","2022-01-16 22:58","0.0","0.0","0.0","...","0.0","...","9.4","86.7","16.26","8.0","...","6","2022-01-16 12:00","2.8"
"17","1016.1","1019.3","1017.9","2022-01-17 08:11","1014.1","2022-01-17 14:24","19.4","23.9","2022-01-17 12:55","16.9","2022-01-17 23:33","15.7","80","59","2022-01-17 12:59","4.3","360","10.7","350","2022-01-17 12:07","2.5","1.8","1.5","2022-01-17 23:05","2.5","2022-01-17 23:05","5.7","52.5","13.46","8.8","...","6","2022-01-17 12:00","6.5"
"18","1015.4","1018.6","1017.1","2022-01-18 00:01","1013.5","2022-01-18 15:43","17.7","20.1","2022-01-18 13:00","15.9","2022-01-18 05:45","16.0","90","77","2022-01-18 13:01","3.7","360","10.0","360","2022-01-18 10:14","4.5","2.7","0.5","2022-01-18 00:06","1.5","2022-01-18 00:06","0.2","1.8","7.28","6.0","...","4","2022-01-18 13:00","10.0"
"19","1013.9","1017.0","1015.7","2022-01-19 00:31","1011.9","2022-01-19 15:13","18.2","22.2","2022-01-19 14:37","16.3","2022-01-19 06:46","15.2","83","66","2022-01-19 14:26","4.4","10","10.7","20","2022-01-19 09:15","T","0.3","T","2022-01-19 00:16","T","2022-01-19 00:16","6.1","56.1","13.85","8.0","...","7","2022-01-19 13:00","5.3"
"20","1013.5","1016.6","1015.3","2022-01-20 09:20","1011.8","2022-01-20 15:14","19.0","24.3","2022-01-20 13:28","15.1","2022-01-20 05:41","15.2","79","61","2022-01-20 12:52","2.9","360","8.4","20","2022-01-20 19:07","0.0","0.0","0.0","...","0.0","...","4.7","43.1","13.95","7.8","...","6","2022-01-20 13:00","7.3"
"21","1013.9","1017.1","1015.9","2022-01-21 08:54","1012.5","2022-01-21 16:43","19.6","24.4","2022-01-21 12:36","16.8","2022-01-21 05:50","16.0","80","56","2022-01-21 12:37","4.0","10","10.3","30","2022-01-21 09:15","0.0","0.0","0.0","...","0.0","...","3.4","31.2","11.99","12.3","...","5","2022-01-21 12:00","8.8"
"22","1011.2","1014.4","1014.2","2022-01-22 07:58","1008.2","2022-01-22 14:32","18.5","21.5","2022-01-22 14:22","17.3","2022-01-22 23:34","17.2","92","78","2022-01-22 15:03","3.7","360","13.0","340","2022-01-22 16:32","11.5","9.8","1.0","2022-01-22 07:59","2.5","2022-01-22 07:13","0.1","0.9","5.18","4.8","...","3","2022-01-22 14:00","9.8"
"23","1009.4","1012.6","1010.8","2022-01-23 09:52","1007.8","2022-01-23 14:24","20.2","25.0","2022-01-23 13:26","17.2","2022-01-23 00:27","18.7","92","73","2022-01-23 13:27","2.3","360","8.9","330","2022-01-23 15:53","0.0","0.0","0.0","...","0.0","...","3.2","29.3","11.88","6.0","...","6","2022-01-23 13:00","8.8"
"24","1010.6","1013.8","1012.4","2022-01-24 23:44","1009.4","2022-01-24 04:38","19.7","22.7","2022-01-24 13:00","17.5","2022-01-24 23:56","17.8","89","72","2022-01-24 12:48","3.6","360","9.5","20","2022-01-24 05:17","0.0","0.0","0.0","...","0.0","...","1.1","10.0","9.28","7.1","...","5","2022-01-24 13:00","8.8"
"25","1012.8","1015.9","1014.8","2022-01-25 09:24","1010.6","2022-01-25 14:32","19.7","26.1","2022-01-25 13:51","17.1","2022-01-25 05:11","16.5","83","54","2022-01-25 13:37","3.7","10","9.9","10","2022-01-25 17:50","T","0.2","T","2022-01-25 04:53","T","2022-01-25 04:53","6.6","60.2","15.79","8.3","...","7","2022-01-25 13:00","5.0"
"26","1013.7","1016.9","1015.5","2022-01-26 09:05","1011.7","2022-01-26 15:08","20.6","26.6","2022-01-26 13:33","18.0","2022-01-26 00:01","17.9","86","59","2022-01-26 13:24","3.1","360","9.5","300","2022-01-26 14:06","0.0","0.0","0.0","...","0.0","...","9.3","84.7","17.18","8.0","...","7","2022-01-26 13:00","1.3"
"27","1013.5","1016.6","1015.2","2022-01-27 09:12","1011.3","2022-01-27 15:15","20.9","26.7","2022-01-27 13:14","18.5","2022-01-27 04:22","18.2","85","53","2022-01-27 13:10","3.2","360","8.3","260","2022-01-27 17:49","0.0","0.0","0.0","...","0.0","...","7.0","63.7","15.79","5.8","...","7","2022-01-27 13:00","3.3"
"28","1012.6","1015.7","1014.1","2022-01-28 09:19","1010.5","2022-01-28 15:36","19.5","22.0","2022-01-28 12:43","17.8","2022-01-28 23:57","17.8","90","74","2022-01-28 12:46","3.3","10","10.1","20","2022-01-28 03:31","9.0","7.7","1.0","2022-01-28 17:46","2.5","2022-01-28 16:51","0.0","0.0","6.04","6.5","...","4","2022-01-28 13:00","10.0"
"29","1009.4","1012.6","1012.4","2022-01-29 00:30","1006.8","2022-01-29 15:48","17.7","18.3","2022-01-29 02:18","16.6","2022-01-29 23:52","16.8","95","87","2022-01-29 18:16","3.9","360","9.9","10","2022-01-29 06:54","13.0","9.6","1.5","2022-01-29 08:49","5.5","2022-01-29 08:18","0.1","0.9","4.28","6.3","...","3","2022-01-29 13:00","10.0"
"30","1012.6","1015.8","1016.2","2022-01-30 22:30","1008.9","2022-01-30 02:32","15.5","18.1","2022-01-30 12:03","11.9","2022-01-30 23:11","12.5","82","69","2022-01-30 16:45","5.7","360","18.2","10","2022-01-30 14:32","0.0","0.0","0.0","...","0.0","...","2.5","22.6","8.68","18.8","...","4","2022-01-30 12:00","7.8"
"31","1015.7","1018.9","1017.1","2022-01-31 08:31","1014.0","2022-01-31 17:38","16.0","20.7","2022-01-31 15:46","11.4","2022-01-31 03:14","11.1","74","53","2022-01-31 15:59","3.2","360","9.8","350","2022-01-31 13:11","0.0","0.0","0.0","...","0.0","...","6.8","61.5","16.14","16.3","...","8","2022-01-31 13:00","5.8"
